country,iso,group,ppp_mult_vs_fr,researchers_per_million,res_year
Sénégal,SEN,ird_south,2.14,572,2015
Côte d'Ivoire,CIV,ird_south,2.06,64,2005
Burkina Faso,BFA,ird_south,2.05,47,2010
Mali,MLI,ird_south,2.25,26,2023
Niger,NER,ird_south,2.15,27,2013
Madagascar,MDG,ird_south,2.49,33,2018
Congo,COG,ird_south,2.21,127,2022
Tchad,TCD,ird_south,2.17,57,2016
Chine,CHN,cnrs_typical,1.62,2107,2023
Brésil,BRA,cnrs_typical,1.67,903,2014
États-Unis,USA,cnrs_typical,0.77,4937,2022
Allemagne,DEU,cnrs_typical,0.95,5926,2023
Royaume-Uni,GBR,cnrs_typical,0.86,4473,2017
Japon,JPN,cnrs_typical,1.18,5609,2023
Italie,ITA,cnrs_typical,1.11,2855,2023
France,FRA,france,1.00,5369,2023
